dis_1 dis_2 ang_1 e_har
0.91838 0.93115 114.86732 0.136311839
0.96771 0.95354 103.16421 0.0037078083
0.98334 0.96257 103.65231 0.0159474763
0.94437 0.94464 109.78862 0.0284259977
0.96387 0.98151 114.5069 0.0767451871
0.93768 1.19308 89.56518 1.1468050248
1.01505 1.00665 104.80147 0.1440168504
1.06528 0.96888 88.79612 0.4421485312
0.85987 1.1479 136.06029 1.0476501636
0.98177 1.15437 112.33763 1.0270489136
0.93769 0.94588 98.40232 0.0494009029
1.1791 0.97325 90.5077 1.3361131105
0.94683 0.94938 103.37898 0.0073613303
0.9744 0.97346 97.88623 0.0321472746
1.27875 1.05363 110.29188 3.0036084917
1.05383 0.91065 88.96423 0.5476244026
0.90449 0.89385 131.32848 1.0102731657
0.91634 0.85491 129.20013 1.0983916635
0.97283 0.96967 103.19141 0.0081795552
0.94022 0.94054 102.37488 0.0228723989
0.97933 0.97933 112.99837 0.0722277651
0.95741 0.94834 98.92917 0.0271804882
0.95635 0.96146 91.97519 0.1185739281
0.97661 0.98266 95.80633 0.0554582128
1.0622 1.10019 92.11192 0.6757534673
0.90233 0.9059 99.80946 0.1906225398
0.8283 0.9196 112.22163 0.5070932747
0.84485 0.98398 116.01327 0.4013532221
0.97343 0.97664 104.193 0.0137398027
0.94134 1.02801 105.40938 0.1371490501
0.94996 0.95027 101.43246 0.0116041302
0.89663 0.99059 117.85742 0.2071528117
0.911 0.9893 112.15589 0.1097995252
0.98401 0.96364 103.37677 0.01707948
1.01256 0.99399 110.80569 0.1427695556
0.95911 0.98359 100.38141 0.0216004974
0.93845 0.98221 97.37756 0.0525033294
0.96615 0.94682 98.56148 0.0320516616
0.94221 0.94981 98.21893 0.0423433821
0.96013 0.92034 109.08939 0.0544595104
0.96028 0.95933 101.13589 0.0068635883
0.96948 0.96331 105.16923 0.004291257
1.16499 0.93827 136.32155 2.4653314396
0.98704 0.84802 115.31532 0.4796412568
0.92257 0.98184 101.83791 0.0534645312
0.89606 0.88454 77.46161 1.3976599833
1.01712 0.94119 74.52399 1.2147722314
1.0023 1.00336 110.60004 0.1318407353
0.88072 1.25007 98.77059 2.3178293325
0.95962 0.83882 102.0307 0.3946905092
0.86827 0.88993 90.14323 0.6380462466
0.80977 1.05367 91.83116 0.8759971328
0.96663 0.99401 102.45751 0.0333637375
0.95182 0.95194 103.74384 0.0030195287
0.96458 1.17605 80.37415 0.7973023606
0.78951 0.98681 105.95973 0.775651207
0.9737 0.95108 104.66392 0.0076348015
1.19953 1.18419 84.26128 2.2527922594
0.98738 0.98904 98.83671 0.0511280301
0.94296 0.97182 108.52733 0.0208666187
1.1336 1.06858 73.2672 1.459853311
0.95417 0.95919 98.4745 0.0254734334
0.96768 0.92962 106.4161 0.0272047097
0.95693 0.9566 101.39701 0.006587489
1.0338 0.84869 127.67869 1.2164927599
1.08906 1.07085 114.95892 0.8407131008
0.96066 0.94102 102.73622 0.0112283566
1.08232 1.08313 115.8169 0.8672584136
1.04614 1.10639 108.18995 0.7930834016
0.95022 0.94913 112.07435 0.043553461
0.98223 0.97872 120.04372 0.1912439378
0.96772 0.96486 104.45069 0.0030727131
0.96861 0.96651 102.36412 0.0055032512
0.93974 0.94341 102.57879 0.0198364293
0.95364 0.96726 103.12559 0.0034127788
0.8921 0.90695 110.74327 0.2060269131
0.9995 0.83159 113.79427 0.5756225504
0.97406 0.95572 105.83739 0.0084420726
0.99766 0.90755 103.60776 0.1112363804
0.99536 0.96356 98.82528 0.0498157569
0.95182 0.95061 104.37199 0.0030424539
0.83169 1.15536 80.53671 1.2273406712
1.02185 1.02033 102.82121 0.1976815648
0.97381 0.97691 103.84484 0.0140781898
1.03351 1.07213 82.92748 0.4739821592
0.96698 0.96378 99.49722 0.0161736051
0.93531 0.94592 91.41253 0.1779462443
1.04833 0.9572 107.16119 0.2242370515
0.92454 0.95501 102.79333 0.0347242258
0.81247 1.01314 89.66639 0.7904486677
1.06647 0.89535 119.93262 0.6994761874
1.08768 1.16203 115.63074 1.5312571205
0.95873 0.95687 109.36596 0.0166577336
0.88803 0.98821 109.73141 0.1632232724
0.94421 0.95134 97.27485 0.0495348375
0.93725 1.19851 84.51074 1.055992769
0.95503 0.95491 103.03607 0.0022499508
0.9701 0.96448 98.21952 0.0264386291
0.94666 0.94818 106.06034 0.0078776588
0.90602 0.98271 97.21685 0.1239618121
0.95922 0.91185 103.05355 0.0615589193
0.99503 0.99325 103.68351 0.064091162
0.98378 0.98912 94.69465 0.0767606915
0.86534 0.79297 112.46975 0.9997166806
1.00486 0.83366 115.14939 0.6103488896
0.94789 1.00783 105.27782 0.0682658259
0.86036 1.18524 72.84919 1.2873499772
1.05337 1.08458 84.91875 0.552487152
0.83549 0.83831 100.83658 0.815410709
0.96712 1.00038 106.95488 0.0537054309
0.93465 0.92608 111.55034 0.0766926206
0.95042 1.00416 104.4839 0.0565422313
1.04908 0.86965 94.53791 0.5495853856
0.97786 0.98041 93.5593 0.0824681391
0.94099 0.92261 122.18926 0.3216212879
0.95966 0.85258 116.0702 0.4417685863
1.18668 0.96548 91.23581 1.4195469297
1.04414 0.95831 108.92573 0.2173930331
0.99498 0.94187 107.22352 0.0503614187
0.99794 0.97759 111.87774 0.0926857604
0.99113 0.93673 114.20878 0.1224206233
0.94891 0.9438 109.62752 0.0257192783
0.93246 0.94816 104.63727 0.0209932581
0.77771 1.00376 128.59355 1.1587000038
1.01714 0.87236 133.28154 1.4294534636
0.90443 0.92457 112.35861 0.1444871878
0.90935 0.89767 99.1639 0.2052855026
0.86984 0.86264 114.7458 0.5307855504
1.33612 0.97148 107.26074 3.8022778778
1.00616 1.01976 120.28084 0.2896994419
0.9919 0.93575 99.22576 0.0639976649
1.01818 0.93349 97.65277 0.1436100261
0.95909 0.96433 92.69676 0.0998677361
0.955 0.96155 131.25955 0.6434334984
0.99539 1.00979 124.50248 0.3407656121
0.93003 1.00621 118.41296 0.1669522134
0.89326 0.99502 106.80621 0.1499329045
0.90604 0.99727 117.95653 0.1905098
