dis_1 dis_2 ang_1 delta_int
0.81684 1.00581 90.04178 0.0426013278
0.94384 0.94595 106.44719 -0.0017424312
1.00399 0.97635 107.12026 0.0042241592
0.96382 0.90378 110.75385 -0.0084405552
0.87049 1.04911 94.72112 0.0000052795
0.98064 0.83614 118.14319 -0.0326130179
0.86355 1.0555 94.03042 -0.0002158244
0.94652 0.94792 103.58405 0.0004462148
1.01262 0.96441 97.1419 -0.0129876701
0.88638 0.87682 126.28416 -0.0914253978
0.95953 0.9839 103.70778 -0.0004523509
0.91108 1.01384 103.32073 0.0011579106
0.89396 0.97642 130.09525 -0.0273118134
1.15038 1.00032 111.60279 0.0344016301
0.95303 0.92836 103.00721 0.0013506209
0.95547 0.95615 109.03811 -0.0007833561
0.88135 1.15861 96.87686 -0.0221516101
1.07614 1.04171 84.24763 -0.1356540681
0.96933 0.94155 109.55359 -0.0007851721
0.92186 0.97294 99.05773 0.0038346426
0.94141 0.9617 102.88203 0.0006655204
0.94289 0.93791 101.68189 0.0027863277
1.00892 0.94138 94.94316 -0.0094801773
0.95634 0.9589 93.25656 0.0008604200
0.97953 0.9368 97.34087 0.0004311455
0.96411 0.98773 109.09235 0.0042668423
1.09412 1.17784 113.43945 0.0467934456
0.90623 0.91938 80.28194 0.0874403304
1.11267 1.10129 100.38134 -0.0424059509
0.94217 0.96695 106.11019 -0.0003078352
0.98843 0.9886 115.53648 0.0160193566
0.90383 0.98532 96.91426 0.0067683011
0.9155 0.91601 112.14918 -0.0195933291
0.96915 0.97247 100.81969 -0.0024921932
1.01384 1.14094 110.83652 0.0295714525
0.91838 0.93115 114.86732 -0.0198026682
0.96771 0.95354 103.16421 -0.0000866250
0.98334 0.96257 103.65231 -0.0005806721
0.94437 0.94464 109.78862 -0.0043650826
0.96387 0.98151 114.5069 0.0071784928
0.93768 1.19308 89.56518 -0.0989543802
1.01505 1.00665 104.80147 -0.0002533158
1.06528 0.96888 88.79612 -0.0597954699
0.85987 1.1479 136.06029 0.0864918037
0.98177 1.15437 112.33763 0.0383166192
0.93769 0.94588 98.40232 0.0061274830
1.1791 0.97325 90.5077 -0.1006468147
0.94683 0.94938 103.37898 0.0005448395
0.9744 0.97346 97.88623 -0.0059143463
1.27875 1.05363 110.29188 0.0299276649
1.05383 0.91065 88.96423 -0.0253016294
0.90449 0.89385 131.32848 -0.0822593368
0.91634 0.85491 129.20013 -0.0943875807
0.97283 0.96967 103.19141 -0.0008577656
0.94022 0.94054 102.37488 0.0020096648
0.97933 0.97933 112.99837 0.0088853633
0.95741 0.94834 98.92917 0.0019397446
0.95635 0.96146 91.97519 -0.0000623612
0.97661 0.98266 95.80633 -0.0110023235
1.0622 1.10019 92.11192 -0.0932316631
0.90233 0.9059 99.80946 0.0141203249
0.8283 0.9196 112.22163 -0.0405388837
0.84485 0.98398 116.01327 -0.0239351304
0.97343 0.97664 104.193 -0.0002469598
0.94134 1.02801 105.40938 0.0023173203
0.94996 0.95027 101.43246 0.0014562321
0.89663 0.99059 117.85742 -0.0083875919
0.911 0.9893 112.15589 -0.0023353372
0.98401 0.96364 103.37677 -0.0008574836
1.01256 0.99399 110.80569 0.0134985648
0.95911 0.98359 100.38141 -0.0028970154
0.93845 0.98221 97.37756 -0.0004925116
0.96615 0.94682 98.56148 0.0008597256
0.94221 0.94981 98.21893 0.0047630615
0.96013 0.92034 109.08939 -0.0047440844
0.96028 0.95933 101.13589 -0.0001809275
0.96948 0.96331 105.16923 0.0003451223
1.16499 0.93827 136.32155 0.1298019514
0.98704 0.84802 115.31532 -0.0204909811
0.92257 0.98184 101.83791 0.0013833108
0.89606 0.88454 77.46161 0.1543013750
1.01712 0.94119 74.52399 -0.0517660076
1.0023 1.00336 110.60004 0.0128535412
0.88072 1.25007 98.77059 -0.0223577881
0.95962 0.83882 102.0307 0.0080669044
0.86827 0.88993 90.14323 0.0790609153
0.80977 1.05367 91.83116 0.0193241278
0.96663 0.99401 102.45751 -0.0024338436
0.95182 0.95194 103.74384 0.0002118523
0.96458 1.17605 80.37415 -0.1921197170
0.78951 0.98681 105.95973 -0.0033171087
0.9737 0.95108 104.66392 0.0001491649
1.19953 1.18419 84.26128 -0.2900828698
0.98738 0.98904 98.83671 -0.0098765577
0.94296 0.97182 108.52733 -0.0001444597
1.1336 1.06858 73.2672 -0.3350953730
0.95417 0.95919 98.4745 0.0007638474
0.96768 0.92962 106.4161 -0.0009576440
0.95693 0.9566 101.39701 0.0003501732
1.0338 0.84869 127.67869 -0.0087809624
1.08906 1.07085 114.95892 0.0475608433
