dis_1 dis_2 ang_1 delta_nor
0.93751 1.00678 88.068 -0.0106760157
0.78858 0.99989 92.66308 0.2899818237
0.97444 1.07479 120.77457 -0.0168063099
1.02741 1.12036 99.37741 -0.0680409646
1.07375 0.9546 112.19513 -0.0529296101
0.99703 1.03739 117.35121 0.0120940065
0.84654 1.03589 107.32289 0.0650649140
1.04328 0.93108 121.7337 -0.0123084017
1.07962 1.04579 118.80347 0.0289284478
1.05146 1.00687 104.93337 -0.0101601593
1.02738 0.84265 94.38448 0.0647055382
1.14704 0.94761 94.60155 -0.2646103085
1.13144 1.00359 111.59703 -0.1073116126
0.94272 1.11091 110.59154 -0.1388425209
0.9413 0.97534 101.17344 -0.0000583730
0.82073 0.96335 102.59333 0.1551114240
0.90114 1.02745 97.1048 -0.0112273933
0.92363 0.99535 87.25697 -0.0131186197
0.88875 0.93257 109.90869 0.0076874438
0.82438 1.04164 101.85181 0.1227136468
1.11401 1.04875 89.43276 -0.0310814366
1.0704 0.91056 109.03849 -0.0649561778
0.95554 0.93666 97.46653 -0.0014117642
1.08632 1.05506 100.73887 -0.0086545263
1.01705 1.04612 89.56137 0.0040242396
0.86693 0.97502 95.38043 0.0336010061
0.98057 0.98316 101.96851 0.0001208872
0.9303 1.0449 113.58867 -0.0250676187
0.82115 1.02882 116.18444 0.1513393709
0.9631 0.84268 120.03935 0.0593077863
1.02267 0.81778 97.20072 0.1591913844
0.94694 1.02567 86.79331 -0.0159926051
1.1106 0.99361 117.3918 -0.0604134484
0.87281 1.03666 114.31569 0.0136562110
0.98117 0.88553 106.94673 0.0236208163
0.79839 1.01288 123.49021 0.2325819067
0.89452 0.92236 97.64021 -0.0034790329
0.98962 0.84176 112.20704 0.0989036751
1.05583 0.85518 90.40596 -0.0130030321
0.95082 0.91922 96.83965 -0.0017590790
0.90151 1.03741 92.01532 -0.0255504219
0.89029 0.93711 107.11143 0.0103381163
0.79758 1.00605 120.35008 0.2550800707
1.15476 0.98298 108.98272 -0.2136438664
0.97977 1.02497 110.48488 -0.0032669583
1.02493 0.82503 119.99749 0.1298509681
0.96985 0.80997 104.1668 0.2062555521
1.0167 1.00707 89.78948 0.0071242789
0.97526 0.85891 121.927 0.0299245703
0.8284 0.97267 113.0132 0.1310443576
1.14133 0.97334 111.81827 -0.1816705363
0.89023 0.98354 120.47008 0.0069660695
0.82858 0.96911 99.23309 0.1251966131
1.01098 0.84659 120.253 0.0702087514
1.08709 1.03999 118.80965 0.0215743956
1.00946 1.02357 116.65774 0.0163241387
0.9619 0.8737 89.79016 0.0008678005
0.98531 0.97785 97.44659 0.0010082906
1.12108 0.99997 118.85525 -0.0651298251
0.91212 0.97198 114.05824 0.0034213811
1.03104 0.99124 90.14116 0.0000206366
1.00349 1.13308 101.94456 -0.1261768525
0.92424 0.95636 120.64949 -0.0094382328
1.0183 0.83264 92.57987 0.0925796274
1.0723 0.84606 116.07342 0.0062114653
1.07819 0.98016 117.05541 -0.0280820821
0.82399 1.04728 99.46211 0.1107363294
0.91243 0.95126 119.45842 -0.0096142988
0.96754 0.83168 115.42442 0.1106289118
0.99232 1.05655 96.65943 -0.0190197937
0.93051 0.90472 123.32363 -0.0353546604
1.03776 0.80904 94.51556 0.1717880281
0.8099 1.00691 98.67611 0.2061417521
0.97298 1.02444 120.62481 0.0123299184
1.06997 0.95934 111.24709 -0.0464605475
0.9966 0.94125 117.13507 0.0015389197
0.96624 1.03429 88.722 -0.0116328143
1.03981 0.90669 104.98 -0.0223830549
1.02226 0.9178 93.63436 -0.0143096348
0.94749 0.99308 111.26099 -0.0005040349
0.94825 1.00808 120.08734 0.0042764436
0.90086 0.88509 97.17521 -0.0106525212
0.85662 1.0167 115.44299 0.0554552712
0.9347 1.09778 89.84102 -0.1254169274
0.93849 0.89765 113.08165 0.0012664224
0.95567 1.07377 117.50026 -0.0406097085
0.9436 0.8741 86.0677 -0.0361423326
0.90506 0.90542 119.07947 -0.0273823918
0.88604 1.08075 111.15368 -0.0750072793
0.85786 0.94529 89.89764 0.0038117851
1.06102 0.93159 93.53074 -0.0538163822
1.03035 0.80707 91.01953 0.1708088101
0.99544 1.02164 107.32656 -0.0014015114
1.12989 0.99299 108.3257 -0.1271747069
0.84845 0.99559 97.33403 0.0736206366
0.84006 1.05913 88.18891 0.0010721480
0.87626 1.00742 102.04504 0.0274718405
1.03847 1.00189 90.48675 0.0008039149
1.14349 0.9161 117.43158 -0.2558611187
1.12504 1.03236 96.64914 -0.0696219536
0.89583 0.94592 96.30124 0.0017362264
1.0651 0.93305 86.77723 -0.0623812667
1.04417 1.10358 94.64868 -0.0265871445
1.13265 0.99267 90.31412 -0.1421653869
0.87416 1.00475 113.77777 0.0318149817
1.00936 1.03284 100.99774 -0.0025943705
0.98111 1.07397 97.6705 -0.0445224525
0.96212 0.86885 105.88147 0.0402961394
0.90184 1.10408 117.92526 -0.1287214915
0.83452 0.97381 90.50089 0.0729748568
1.05459 0.84716 98.5607 0.0258235028
1.13053 0.99698 117.96106 -0.0934046969
1.04475 0.87851 114.3014 -0.0024437372
1.031 0.90182 86.5412 -0.0295999832
0.81448 0.97599 94.80527 0.1627134551
0.99394 1.16141 91.11253 -0.2294558859
1.03651 1.0046 93.51979 -0.0001960309
1.00657 1.11679 103.08824 -0.0865886139
1.01394 1.07865 108.57191 -0.0217266095
1.02866 0.91148 107.06244 -0.0128089925
1.07521 0.87279 94.69878 -0.0672882384
0.96103 0.84414 113.84306 0.0772055115
1.11593 0.95178 114.88724 -0.1325621743
0.93489 1.11569 108.14104 -0.1630375969
1.03709 0.93278 96.79779 -0.0249753038
0.94521 0.93834 113.35496 -0.0024204934
0.87719 1.09663 93.2932 -0.1325164006
1.09002 1.06003 97.13754 -0.0076519252
0.97822 1.03445 117.03137 0.0037533428
0.92699 0.91874 120.51281 -0.0220258064
1.02004 0.84659 98.95408 0.0716614612
0.92027 0.90319 93.22835 -0.0173698381
0.94815 0.8516 88.7171 0.0061406254
0.92249 0.8645 117.68294 -0.0013697625
0.99825 1.11739 109.03441 -0.0911444759
0.86254 0.9115 110.54313 0.0158421247
0.89383 1.11209 105.88392 -0.1733571401
0.99522 0.80315 113.89226 0.2470910750
1.09406 1.05772 95.76583 -0.0103320912
1.03214 0.99996 106.62806 -0.0035431716
0.88208 0.96144 91.34986 0.0012992410
1.02911 0.86403 104.25765 0.0326048862
0.98298 0.96152 114.34694 0.0027147489
0.95062 1.04275 111.47779 -0.0212973090
0.94281 1.16467 98.48567 -0.3445561095
0.98173 0.97271 103.16261 -0.0000932644
1.08925 1.00949 103.55316 -0.0411333552
0.7964 0.98779 118.08461 0.2641232284
1.07807 0.99169 115.64638 -0.0224426616
0.96913 1.01327 117.09713 0.0059903851
1.087 0.93937 109.29917 -0.0889338156
1.1319 0.96677 91.58158 -0.1817870763
0.84799 1.02009 105.87344 0.0755952468
0.89636 1.02983 102.96005 -0.0074973512
0.90598 0.95664 85.43683 -0.0324360755
0.94843 1.06864 98.17675 -0.0581982225
1.03558 1.03118 116.47587 0.0206415077
0.86082 0.9917 107.0786 0.0582034290
0.80575 0.98317 91.74089 0.1855766182
0.937 0.85388 94.35025 0.0252532780
0.9365 1.04921 102.24966 -0.0365733814
1.03182 0.90402 93.07562 -0.0195647041
0.8685 1.04432 113.54476 0.0111278061
0.88663 1.07397 113.24459 -0.0583736463
0.8315 0.93973 101.29502 0.0963250317
0.97648 1.06488 90.75001 -0.0329863088
0.85336 0.98338 101.60282 0.0699976687
0.97933 0.91186 107.48503 0.0058795260
0.88716 0.92449 119.66349 -0.0213719594
