dis_1 dis_2 ang_1 e_dir
1.13144 1.00359 111.59703 0.654828246
0.94272 1.11091 110.59154 0.4940026199
0.9413 0.97534 101.17344 0.0223917053
0.82073 0.96335 102.59333 0.7166724555
0.90114 1.02745 97.1048 0.2420159446
0.92363 0.99535 87.25697 0.2787679228
0.88875 0.93257 109.90869 0.1766537736
0.82438 1.04164 101.85181 0.8269524504
1.11401 1.04875 89.43276 0.6723918269
1.0704 0.91056 109.03849 0.3519723635
0.95554 0.93666 97.46653 0.0519463699
1.08632 1.05506 100.73887 0.5023059676
1.01705 1.04612 89.56137 0.3313698123
0.86693 0.97502 95.38043 0.3624474791
0.98057 0.98316 101.96851 0.0270302915
0.9303 1.0449 113.58867 0.2539118891
0.82115 1.02882 116.18444 0.8882623317
0.9631 0.84268 120.03935 0.5774739601
1.02267 0.81778 97.20072 0.8898746118
0.94694 1.02567 86.79331 0.2960770746
1.1106 0.99361 117.3918 0.6229265967
0.87281 1.03666 114.31569 0.440962834
0.98117 0.88553 106.94673 0.1834764491
0.79839 1.01288 123.49021 1.2560277619
0.89452 0.92236 97.64021 0.2171636007
0.98962 0.84176 112.20704 0.5288669334
1.05583 0.85518 90.40596 0.7046746887
0.95082 0.91922 96.83965 0.0972400239
0.90151 1.03741 92.01532 0.3351850581
0.89029 0.93711 107.11143 0.1563923307
0.79758 1.00605 120.35008 1.1940740157
1.15476 0.98298 108.98272 0.7157181386
0.97977 1.02497 110.48488 0.1476036871
1.02493 0.82503 119.99749 0.8866312595
0.96985 0.80997 104.1668 0.8495486031
1.0167 1.00707 89.78948 0.2342751978
0.97526 0.85891 121.927 0.4914092198
0.8284 0.97267 113.0132 0.6454193161
1.14133 0.97334 111.81827 0.6678069615
0.89023 0.98354 120.47008 0.3018051665
0.82858 0.96911 99.23309 0.6556109652
1.01098 0.84659 120.253 0.6355561438
1.08709 1.03999 118.80965 0.6596762048
1.00946 1.02357 116.65774 0.2811624758
0.9619 0.8737 89.79016 0.4271947897
0.98531 0.97785 97.44659 0.0497120511
1.12108 0.99997 118.85525 0.7185942705
0.91212 0.97198 114.05824 0.1199449704
1.03104 0.99124 90.14116 0.2389558746
1.00349 1.13308 101.94456 0.583036732
0.92424 0.95636 120.64949 0.1784412324
1.0183 0.83264 92.57987 0.7762182172
1.0723 0.84606 116.07342 0.803948527
1.07819 0.98016 117.05541 0.4405473978
0.82399 1.04728 99.46211 0.8645302561
0.91243 0.95126 119.45842 0.1819775507
