dis_1 dis_2 ang_1 delta_har
1.06066 1.23169 122.8568 -0.8441738963
0.95766 1.121 82.40041 -0.1386849672
0.99555 0.68283 100.15237 2.1161089148
0.91221 1.15742 115.54223 -0.3392762022
1.00103 1.23106 96.42603 -0.8209870790
1.11529 0.68236 88.28151 1.8374682603
0.94754 0.88117 84.63381 0.0151721146
1.17003 0.74549 102.92181 0.4296475537
0.92305 0.76667 114.99159 0.5725784119
1.08336 1.25941 88.81203 -1.0151600633
1.21962 0.9028 93.75781 -0.7387216926
0.90849 1.03048 122.04724 -0.0192487206
1.12475 1.09344 101.9413 -0.3361591407
1.00252 0.83658 120.08608 0.1044258889
1.24709 0.95857 84.43312 -0.8817268629
1.14893 1.13282 77.23522 -0.1883621103
1.10592 1.23038 97.18643 -0.9443129121
0.84079 0.89756 71.20615 0.0794206528
0.84048 0.99709 88.40188 0.0972305696
0.99791 1.35863 117.24112 -2.3273202853
1.02489 0.75805 132.76434 0.4896674224
0.86638 1.21991 133.23009 -0.6716737203
0.83932 1.0158 96.84343 0.1085839676
0.99097 0.93879 111.99761 -0.0014364489
1.01863 0.90801 71.67409 -0.0178357333
0.93597 0.69274 104.55091 1.8658060953
1.02853 0.69821 105.38788 1.7149099218
1.13123 1.01699 100.52975 -0.2479824781
1.02231 0.91529 113.49274 -0.0075685752
0.89236 1.25844 117.8682 -1.0484238678
1.19219 0.79243 67.1386 -0.4574002168
1.20799 0.77788 113.23366 -0.1536747702
0.92974 1.03024 128.09641 -0.0383451739
1.11696 1.12505 123.04257 -0.3488417516
0.80421 1.03044 90.34774 0.2417607109
1.04961 1.41056 78.70308 -2.7227364675
1.12715 0.7046 75.8141 1.0935342966
0.96812 1.17995 78.37953 -0.3485825767
1.15372 0.90824 97.88137 -0.3344434685
0.93744 0.98893 120.83816 -0.0107809370
1.1965 0.97052 103.27015 -0.5911016803
0.67574 1.01435 78.0108 2.1486885443
1.17935 0.933 129.50771 -0.4207797244
0.99966 1.32871 90.43777 -1.7957048666
1.11951 0.89993 83.20165 -0.1777560549
0.98582 1.21618 82.02622 -0.5795852893
1.39261 0.94765 98.49685 -2.8617609760
1.01205 1.29153 91.3457 -1.3529257529
0.71281 0.94445 121.96969 1.3114792131
0.9598 1.05054 117.95026 -0.0316975272
0.97578 1.04716 138.07708 -0.0702457135
0.88649 0.8562 91.73339 0.0996846112
1.28327 1.03351 90.5075 -1.2488763342
0.83701 1.01872 109.41076 0.1239674386
1.05158 0.88987 109.01273 -0.0177909463
1.32613 0.91051 91.3199 -1.8338559551
1.03538 1.22178 111.13553 -0.8070774787
1.11418 1.14758 78.75928 -0.1743736147
1.21923 0.81749 121.03676 -0.5064970050
1.15632 0.73847 100.82555 0.5940532006
1.00811 0.97372 136.8639 -0.0742885872
0.73328 1.07615 110.7378 0.9682149649
1.16103 0.88888 119.47643 -0.3333095536
1.40308 0.95043 132.56322 -2.8861002511
1.33571 0.98375 104.46628 -2.0146327514
1.0443 0.79009 137.92324 0.0978357570
1.10287 1.18328 87.64321 -0.4707046486
1.41058 0.97461 77.45285 -2.8592343511
1.22267 1.00151 132.54418 -0.6438667107
0.95594 0.92847 77.38873 -0.0088290411
1.27892 0.92223 72.89378 -1.1714067763
1.04086 1.09438 99.72919 -0.1440316272
1.31791 0.94408 85.95061 -1.6623564725
1.2431 1.18557 82.46805 -1.0100565214
1.05121 1.05027 133.73656 -0.0161571917
0.91779 1.26129 110.77053 -1.1176105786
0.75775 0.97406 68.97316 0.5479661910
1.05368 1.38024 82.26267 -2.3296428761
1.2609 0.95804 135.66418 -0.9739965596
1.14289 1.00594 106.07997 -0.3023034083
0.98239 0.8281 112.02547 0.1629377966
1.27753 0.8554 122.85538 -1.1657193031
1.2259 1.13962 110.27733 -1.1118947691
0.98106 1.33882 135.6068 -1.8307469176
0.92106 1.25539 86.65008 -1.0122150764
1.04554 1.00889 139.2702 -0.0450869842
0.83423 1.17306 95.76881 -0.3172344230
0.945 0.99761 105.48644 -0.0031511976
0.9979 0.96212 82.70997 0.0172205650
1.15141 0.97076 101.19407 -0.3293563841
0.94384 0.88153 108.50755 0.0299859158
1.30713 1.00369 80.69155 -1.3753734949
1.17697 1.17848 103.21685 -0.9436627902
0.9434 0.81661 96.72357 0.2196830575
0.68828 1.00507 123.27616 1.8812656106
0.66082 1.10011 104.18265 2.6683633025
0.75113 1.11279 131.56177 0.4988267397
0.80888 1.17665 138.36433 -0.3120189628
1.07964 1.26709 103.89298 -1.2798524360
1.30494 0.86502 108.61917 -1.5432056359
1.32084 1.06634 91.6835 -1.7196958248
1.26179 0.93497 111.49456 -1.1266678738
0.77327 1.04405 88.53078 0.4525158301
0.89122 1.01969 87.62534 0.0004087442
1.11502 0.96222 128.88714 -0.1429458339
1.0321 0.83505 69.86983 0.0151084028
1.21184 1.03928 89.65152 -0.6102273368
0.91193 0.78592 87.92981 0.4148336783
0.84474 0.8932 123.91046 0.0278305515
0.89725 0.92013 115.48617 0.0016178898
1.2792 0.84893 127.65907 -1.1589264663
0.96193 0.92636 118.73611 -0.0118714328
1.10622 1.12967 77.21046 -0.0822075298
1.08279 0.71589 125.43894 1.1891218315
1.1825 1.04947 121.65958 -0.4893579447
1.08846 1.27078 117.43977 -1.3210922909
1.27987 1.07948 77.02465 -0.9385592671
1.31396 0.91221 71.83963 -1.5820324608
0.96027 0.89251 79.34867 -0.0026977745
1.08322 1.0168 82.7051 -0.0080036801
1.13556 0.69963 97.62806 1.4028593809
0.95388 1.32871 102.23388 -1.9110743734
1.15895 0.75785 131.55519 0.2614288340
1.0537 1.18118 95.24166 -0.4848517256
1.20002 1.05894 100.88729 -0.6547185415
1.05989 1.2041 90.50795 -0.5799099832
1.07363 0.72967 141.83159 0.6080012134
1.17464 0.86975 69.85306 -0.4515346764
1.11353 0.66824 120.23778 2.3663474422
1.02404 0.63337 135.98021 3.5029280917
1.37054 0.93363 79.39759 -2.3419094774
1.10161 0.65952 108.20187 2.7201965826
1.06961 0.69447 128.5881 1.6271407693
1.02571 0.91692 86.93893 -0.0091166972
1.30568 0.87687 73.24313 -1.5539934282
1.11284 1.0437 134.72604 -0.0958800695
1.2682 0.94473 103.92088 -1.1989690968
1.10846 0.88541 80.319 -0.1442035313
1.09579 1.03734 105.89601 -0.1575848938
1.18877 0.80057 97.33539 -0.2448221489
1.15564 0.87699 110.61596 -0.3063832833
0.86206 1.22365 110.26195 -0.7152916929
1.12727 0.6968 137.60934 1.2693807010
0.97896 1.3777 118.37439 -2.6124318426
1.00877 0.82508 86.12448 0.1405021930
0.79796 0.93394 104.03415 0.3358477605
1.16204 0.91509 131.15707 -0.3398998735
1.13191 1.18379 91.12496 -0.6114743584
0.72427 0.91739 101.76534 1.2036919981
1.18664 1.0995 89.68769 -0.5164784009
1.17732 1.1146 115.87317 -0.6476486493
0.69192 1.09905 72.32262 1.4330385265
1.00745 0.81175 103.88129 0.2422642215
0.72261 1.12342 71.47861 0.7064905355
1.29244 0.8296 122.10281 -1.2496589119
1.03523 1.25118 132.13967 -0.8751709599
0.90312 0.92084 123.98521 -0.0472822721
1.03536 1.11748 99.19618 -0.2046792032
1.06572 1.06569 122.34846 -0.0866997803
0.95778 0.73785 98.99627 0.9697432164
0.98706 0.92823 78.15472 0.0004594646
0.82314 1.26896 97.09081 -1.0311566215
1.10693 0.97364 120.18595 -0.1359338112
1.01339 1.17343 78.75793 -0.2570176638
0.95851 1.09847 109.71477 -0.1338831366
