dis_1 dis_2 ang_1 delta_int
0.92106 1.25539 86.65008 -0.1470772146
1.04554 1.00889 139.2702 0.0982322323
0.83423 1.17306 95.76881 -0.0167250499
0.945 0.99761 105.48644 0.0011399866
0.9979 0.96212 82.70997 -0.0334799437
1.15141 0.97076 101.19407 -0.0186987906
0.94384 0.88153 108.50755 -0.0113402700
1.30713 1.00369 80.69155 -0.3067657290
1.17697 1.17848 103.21685 -0.0414672189
0.9434 0.81661 96.72357 0.0369844086
0.68828 1.00507 123.27616 -0.0807905867
0.66082 1.10011 104.18265 0.0562958567
0.75113 1.11279 131.56177 0.0114487971
0.80888 1.17665 138.36433 0.0939836411
1.07964 1.26709 103.89298 -0.0282090155
1.30494 0.86502 108.61917 0.0487953462
1.32084 1.06634 91.6835 -0.1726583039
1.26179 0.93497 111.49456 0.0511320444
0.77327 1.04405 88.53078 0.0461768330
0.89122 1.01969 87.62534 0.0020972430
1.11502 0.96222 128.88714 0.0858331312
1.0321 0.83505 69.86983 0.0536446831
1.21184 1.03928 89.65152 -0.1501795780
0.91193 0.78592 87.92981 0.1291248293
0.84474 0.8932 123.91046 -0.0976465385
0.89725 0.92013 115.48617 -0.0315718607
1.2792 0.84893 127.65907 0.1361803738
0.96193 0.92636 118.73611 -0.0105336938
1.10622 1.12967 77.21046 -0.3046928327
1.08279 0.71589 125.43894 -0.0210410959
1.1825 1.04947 121.65958 0.0950292276
1.08846 1.27078 117.43977 0.0784798038
1.27987 1.07948 77.02465 -0.4086872944
1.31396 0.91221 71.83963 -0.4121712869
0.96027 0.89251 79.34867 0.0625788373
1.08322 1.0168 82.7051 -0.1367035917
1.13556 0.69963 97.62806 0.0276206698
0.95388 1.32871 102.23388 -0.0173186307
1.15895 0.75785 131.55519 0.0529406005
1.0537 1.18118 95.24166 -0.0883353115
1.20002 1.05894 100.88729 -0.0433403612
1.05989 1.2041 90.50795 -0.1462581693
1.07363 0.72967 141.83159 -0.0500646151
1.17464 0.86975 69.85306 -0.2225097060
1.11353 0.66824 120.23778 0.0228748840
1.02404 0.63337 135.98021 -0.0364416408
1.37054 0.93363 79.39759 -0.3267955610
1.10161 0.65952 108.20187 0.0506302420
1.06961 0.69447 128.5881 -0.0416224030
1.02571 0.91692 86.93893 -0.0162308382
1.30568 0.87687 73.24313 -0.3471843581
1.11284 1.0437 134.72604 0.1360799426
1.2682 0.94473 103.92088 -0.0003542793
1.10846 0.88541 80.319 -0.0778233532
1.09579 1.03734 105.89601 0.0016606357
1.18877 0.80057 97.33539 -0.0035045512
1.15564 0.87699 110.61596 0.0309550416
0.86206 1.22365 110.26195 0.0440300805
1.12727 0.6968 137.60934 0.0032723447
0.97896 1.3777 118.37439 0.1054779406
1.00877 0.82508 86.12448 0.0487811165
0.79796 0.93394 104.03415 -0.0001727914
1.16204 0.91509 131.15707 0.1024116287
1.13191 1.18379 91.12496 -0.1603936717
0.72427 0.91739 101.76534 0.0156480780
1.18664 1.0995 89.68769 -0.1657454969
1.17732 1.1146 115.87317 0.0625804044
0.69192 1.09905 72.32262 0.0829343964
1.00745 0.81175 103.88129 0.0049021689
0.72261 1.12342 71.47861 0.0112167565
1.29244 0.8296 122.10281 0.1175007246
1.03523 1.25118 132.13967 0.1692435938
0.90312 0.92084 123.98521 -0.0482198216
1.03536 1.11748 99.19618 -0.0389834705
1.06572 1.06569 122.34846 0.0749854039
0.95778 0.73785 98.99627 0.0343329102
0.98706 0.92823 78.15472 0.0013201167
0.82314 1.26896 97.09081 -0.0197610158
1.10693 0.97364 120.18595 0.0578690031
1.01339 1.17343 78.75793 -0.2451901482
0.95851 1.09847 109.71477 0.0192530819
0.80258 0.91955 106.41581 -0.0151484227
0.65412 1.02295 114.80683 0.0017842006
1.25312 1.10388 100.32905 -0.0666930473
1.21355 0.89328 82.74059 -0.1489098807
0.69198 1.1209 76.21487 0.0455930504
0.8953 0.99245 107.57327 -0.0011848024
0.84442 0.96179 105.91157 -0.0046929292
1.15765 1.11219 106.24749 -0.0046636169
1.09764 0.98896 82.63938 -0.1285660263
0.83782 0.92837 120.83765 -0.0676102991
1.12695 0.73952 89.83876 0.0141326616
1.07363 0.63022 105.71139 0.1342476467
0.75861 1.17058 76.51507 -0.0666132784
1.35381 0.94124 107.50507 0.0310120325
0.75014 0.92069 121.82684 -0.1178992191
1.31577 0.91584 105.4153 0.0180960365
0.91866 1.10511 114.22757 0.0312830771
1.31771 0.91271 124.91861 0.1397323159
1.18803 1.04059 102.98137 -0.0218130745
0.89187 1.04845 94.97043 -0.0060183440
1.14658 1.15362 107.00216 -0.0018964921
1.28106 0.99176 78.71477 -0.3151381398
1.16268 1.11694 117.72901 0.0736547409
0.89454 1.03134 86.61722 -0.0073684712
1.24031 1.07233 121.26408 0.1023865673
1.00483 1.31884 130.18814 0.1706533054
0.92413 1.28238 113.17545 0.0653972908
1.09309 1.04475 71.6266 -0.2871735245
1.13226 0.72357 68.90136 -0.0100218664
0.74704 1.10734 68.61713 0.0155759457
1.08771 1.05942 104.63703 -0.0062689717
1.34674 0.89578 116.36199 0.0995912357
0.96733 0.72884 87.4944 0.1227278268
0.73348 0.89231 103.69923 -0.0025808029
0.66795 1.02376 80.83377 0.1836442878
0.77523 1.00488 129.23654 -0.0683845288
0.88955 0.83852 107.33138 -0.0213223309
0.84664 0.94556 72.41909 0.1735580798
1.1733 0.96808 96.97285 -0.0476253765
1.05238 1.19985 103.71659 -0.0191466575
0.79868 1.20739 98.31901 -0.0005967847
1.1291 0.81867 124.90818 0.0418625798
0.62184 1.00219 110.87698 0.1210855006
0.94439 0.80492 105.76289 -0.0080832225
0.74739 0.96409 85.47678 0.1337000165
1.12105 0.80512 126.20821 0.0342618903
0.81588 1.24504 84.68723 -0.1076034310
0.89589 1.01642 124.02087 0.0017813642
0.71233 0.98007 118.17476 -0.0734419918
0.8175 0.90319 84.30926 0.1498384887
1.225 0.91102 79.92028 -0.1991563969
1.17124 0.8546 105.89984 0.0187446196
1.03114 0.67545 138.55121 -0.1085679398
1.00283 1.02768 110.48394 0.0156266868
0.743 1.18136 129.76929 0.0644093281
0.81097 1.2138 112.55926 0.0528232850
1.00892 0.80788 143.61542 -0.0758221769
0.88554 1.11584 68.97166 -0.1555813233
0.82828 1.16475 87.40342 -0.0499581657
1.0149 0.86981 119.5209 -0.0070091297
0.88828 1.13857 72.55476 -0.1642846244
1.31253 0.94947 73.93573 -0.3989714541
1.01088 0.6534 110.51768 0.0188592042
1.10388 1.22953 95.17139 -0.1173232138
1.21563 0.97576 101.62024 -0.0217418366
1.01492 0.78573 125.48582 -0.0465372116
0.9112 1.24239 133.76043 0.1542963833
1.00527 0.86214 110.93315 -0.0051620828
1.02376 1.24726 75.29555 -0.3720611833
0.93254 1.13941 74.60075 -0.1903685011
1.08066 0.95012 112.98559 0.0255702342
1.18256 1.22776 80.64052 -0.3708591443
0.89164 0.75072 125.22028 -0.1610217937
1.09864 0.80547 121.24941 0.0182055971
1.00993 0.70845 107.56163 -0.0096327008
1.29558 1.05965 125.9721 0.1391647910
1.18277 0.87655 77.2335 -0.1645087071
0.94341 0.94902 137.00239 -0.0191860665
1.15117 1.15268 99.44453 -0.0676858428
1.05098 0.9359 131.04139 0.0448677348
0.86341 1.11063 129.77469 0.0503819752
1.05258 1.14969 112.65925 0.0404047142
0.88568 1.29803 136.09707 0.1891725231
0.70382 1.09269 100.57975 0.0250488784
0.98508 1.14833 95.33214 -0.0582863539
0.86225 0.89967 121.5179 -0.0745854806
1.10291 1.0612 117.83846 0.0621638415
1.02563 1.26014 107.41314 0.0117407883
0.91589 0.80905 119.88093 -0.0839256366
0.76699 1.19074 118.99278 0.0595417311
0.91 0.77936 146.33792 -0.2310856644
0.9905 1.30956 88.45316 -0.1808073461
0.7819 0.97783 127.50021 -0.0828645635
0.78793 1.09957 84.79442 0.0050977097
1.08785 1.19561 109.42204 0.0195624012
0.96156 0.79052 83.09217 0.1271599904
1.02085 1.38199 77.5644 -0.4291581334
1.14933 0.91304 79.9047 -0.1374550938
0.82992 1.23851 72.16941 -0.2465175788
1.22931 0.89769 113.29159 0.0573734840
1.38493 0.961 122.01113 0.1326764223
0.79739 0.929 123.88074 -0.0989233198
0.95374 0.79129 77.20122 0.1850024488
1.12646 1.24738 99.45152 -0.0805172842
0.83949 0.90645 80.24605 0.1664206226
0.72375 1.06651 66.0489 0.1302212459
1.09528 1.06008 99.12911 -0.0405289128
0.8598 1.17733 98.55765 -0.0115962087
0.7307 1.11979 126.93144 0.0113949137
1.02134 0.79926 117.98325 -0.0226957718
1.08153 0.77337 83.79894 0.0277724648
0.95694 1.05936 115.85253 0.0283266368
1.10318 0.84624 84.08044 -0.0330951183
1.30714 1.02761 104.06322 -0.0179860912
1.02152 1.00789 80.22842 -0.0986347225
1.38206 0.9652 84.04224 -0.2664045424
1.03463 0.79261 79.80508 0.0672658314
1.03018 0.97051 111.98806 0.0157278984
1.41319 0.96403 128.08736 0.1742275357
1.03625 0.7882 73.22811 0.0917113429
0.99329 0.99421 127.28672 0.0359610689
1.21682 1.13824 110.22098 0.0201324247
1.23857 0.80665 133.75931 0.1292637588
0.93657 1.30317 104.31029 0.0046703601
0.94481 1.19498 90.94579 -0.0912117005
0.66884 1.01082 123.81352 -0.0684605748
1.12438 1.02538 128.29074 0.1069213854
1.08241 1.08627 101.1128 -0.0299464168
1.32267 0.87449 120.67984 0.1200148673
0.7786 1.08341 69.19291 0.0281363355
0.89826 1.06706 107.62898 0.0087525754
1.01923 1.01777 121.62177 0.0451282915
0.73059 1.02319 94.69316 0.0466555037
1.04997 0.92034 109.26454 0.0095768673
1.03646 1.10444 111.59698 0.0304283922
1.24422 1.0656 88.56947 -0.1882211070
1.12446 0.80369 84.96532 -0.0218108713
0.86351 1.20478 87.10273 -0.0895466294
0.80677 1.06319 67.77491 0.0337182195
1.15813 0.75151 64.82173 -0.1085894435
0.85519 1.10353 138.21615 0.0518176959
0.98109 1.28694 78.84616 -0.3099463817
1.18937 0.81338 97.04372 -0.0082020266
0.96301 1.00483 136.18031 0.0359109113
0.66538 1.10604 133.01178 -0.0006584852
0.73617 1.00441 78.41362 0.1557055014
1.19304 1.2429 80.78981 -0.3836145158
1.15809 1.05207 74.41964 -0.3261693443
0.78068 0.9627 80.36802 0.1556965008
0.95907 1.17641 88.96932 -0.1064030496
1.27034 1.12042 90.83632 -0.1904065552
1.21192 0.7729 131.00826 0.0969173997
0.80012 0.99201 116.80095 -0.0345718836
0.88892 0.80835 146.72524 -0.2306094215
1.07213 0.86769 76.75511 -0.0383240374
1.26379 1.06666 114.8705 0.0619070840
0.97552 0.80404 141.58334 -0.1123087307
1.13478 0.74278 85.75915 0.0040369406
0.80893 1.11215 92.30209 -0.0026925061
1.00578 0.96692 89.79422 -0.0265036211
0.99518 0.85994 108.60863 -0.0046207507
0.93557 1.08105 128.51514 0.0578145301
0.77971 1.22219 136.9036 0.1198497437
1.16213 0.79636 66.01186 -0.1575415502
0.81134 0.95015 113.60785 -0.0396475186
1.03793 0.86551 111.08453 0.0035454031
1.1994 1.03363 108.60506 0.0186390948
0.95965 1.36897 78.80168 -0.3539902678
0.78204 1.1659 109.02103 0.0316273710
