c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.5 0.5 0.99396 0.62876 151.19965 7722.643149099999 2936.6967765 1615.4150881 -131.7191472 6602.493852276767 529.8818707369492 1168.2531785161898 -254.10835782548463 5099.095322250002 -207.5747351567312 1748.3560622272364 -218.05501790510036 1120.1492968232324 2623.547826849998 1503.3985300267655 2406.814905763051 3144.271511656731 737.4566058936803 447.1619095838102 132.9409741272365 -314.22093545657367 122.38921062548464 86.33587070510035 -36.05333992038429
-0.8 -0.5 0.6000000000000001 1.03139 0.59383 152.20165 10445.9745406 4779.518847900001 3141.2294461 147.4145895 8375.3441180739 1481.6979448547272 2526.993816547832 -230.20015301035852 6187.580181404447 219.82173546873173 2749.5701492770404 -198.10384372196012 2070.6304225261006 4258.394359195552 2187.7639366694516 3297.820903045273 4559.697112431269 1261.8762093859955 614.235629552168 391.65929682295973 -222.57633272920827 377.61474251035855 345.5184332219601 -32.09630928839846
-0.8 -0.5 0.7 1.06891 0.5594 153.43941 13939.1217074 7232.064349 5048.5167397000005 679.9081986 10334.554415281627 2447.0637240200663 3600.6472453866963 -208.36078478203274 7324.856660085463 583.5360063788908 3571.6970990387144 -181.59831230455563 3604.567292118373 6614.265047314537 3009.6977551961636 4785.0006249799335 6648.528342621109 1863.5277176411755 1447.869494313304 1476.8196406612856 28.950146347981672 888.2689833820327 861.5065109045556 -26.762472477477104
-0.8 -0.5 0.8 1.10652 0.52558 154.94357 18351.337229599998 10443.58557 7379.542703900001 1606.9775969 12394.552691662073 3371.330885287571 4106.68394165163 -190.08940895041084 8454.756636904018 862.490778821475 4052.9164696532325 -169.5451423543856 5956.784537937926 9896.580592695982 3939.796054758056 7072.254684712429 9581.094791178526 2508.8401064660975 3272.8587622483697 3326.626234246768 53.76747199839838 1797.0670058504109 1776.5227392543857 -20.54426659602518
-0.8 -0.4 -0.8 0.55788 1.14293 152.28182 14554.433105099999 7329.6097509 4874.4315659 840.2970495 10778.398055340534 3073.6719939535647 3708.510185945675 -105.39729202374986 7682.7530786921725 881.4273163869173 3125.2835796535187 -108.86663498434817 3776.0350497594645 6871.6800264078265 3095.644976648362 4255.937756946436 6448.1824345130835 2192.2446775666476 1165.9213799543254 1749.1479862464817 583.2266062921562 945.6943415237498 949.1636844843481 3.469342960598283
-0.8 -0.4 -0.7000000000000001 0.59236 1.10524 150.97481 10956.3168032 4932.1884486 3359.2545905 290.0633648 8789.094891403854 2074.224616985782 3016.8624390382215 -123.79366999514043 6532.175619351113 598.3241352973292 2648.4817469858453 -118.95610195552001 2167.221911796146 4424.141183848887 2256.919272052741 2857.9638316142177 4333.864313302671 1475.900481688453 342.3921514617785 710.7728435141545 368.380692052376 413.85703479514046 409.01946675552006 -4.8375680396204075
-0.8 -0.4 -0.6000000000000001 0.62733 1.06763 149.89642 8118.1912193 3134.6651924 2108.1625746 -1.1188031 6953.284454419446 1068.897777814567 1900.6124984809082 -145.80604753886067 5402.321456761493 228.71113277111465 1929.032126842332 -133.58751181466127 1164.9067648805537 2715.8697625385066 1550.9629976579529 2065.7674145854326 2905.9540596288853 840.1866450434527 207.5500761190918 179.13044775766807 -28.419628361423747 144.68724443886066 132.46870871466126 -12.218535724199398
-0.8 -0.4 -0.5 0.66273 1.0301 149.02133 5911.5523709 1808.5357903 1099.8015769 -138.0379547 5333.654427261103 127.91837259514976 646.2804120830085 -169.4964578673879 4338.827110490942 -206.08712418037732 1103.0705768127195 -151.6159281486245 577.8979436388969 1572.7252604090581 994.8273167701612 1680.6174177048501 2014.6229144803774 334.00549677552726 453.5211648169915 3.2689999127195613 -450.2521649042719 31.458503167387907 13.577973448624519 -17.880529718763388
-0.8 -0.4 -0.4 0.69849 0.99267 148.3297 4233.7393884 851.1396939 311.0331114 -195.14808480000002 3973.9108872058528 -686.926727987526 -540.6054988196075 -192.6797897185013 3386.375607868915 -671.6441028782067 285.3232096017099 -171.18227950055507 259.82850119414724 847.3637805310852 587.535279336938 1538.0664218875258 1522.7837967782068 -15.282625109319042 851.6386102196075 25.709901798290137 -825.9287084213173 2.468295081498706 23.96580529944495 21.497510217946243
-0.8 -0.4 -0.30000000000000004 0.73456 0.95535 147.80635 3005.3827543999996 183.10748969999997 -279.26240889999997 -218.9109199 2901.1365217568077 -1331.0360429680713 -1537.0059464804817 -213.21610660466544 2588.105083319295 -1120.49331273074 -436.22362116223564 -189.96141153903199 104.2462326431921 417.27767108070515 313.03143843751303 1514.1435326680714 1303.60080243074 -210.5427302373314 1257.7435375804816 156.96121226223565 -1100.782325318246 5.694813295334555 28.949508360968018 23.254695065633463
